,Gene/Region,"HGNC/Dosage ID",Cytoband,GRCh37,GRCh38,"HI Score","Haplo Disease","Haplo Disease ID","TS Score","Triplo Disease","Triplo Disease ID",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
G,ACAD8,HGNC:87,11q25,11:134123462-134135749,11:134253568-134265855,"30 (Autosomal Recessive)","isobutyryl-CoA dehydrogenase deficiency",MONDO:0012648,"0 (No Evidence)",'-,'-,,,52.61,0,1.27,12/11/2014
G,ACADM,HGNC:89,1p31.1,1:76190394-76229364,1:75724709-75763679,"30 (Autosomal Recessive)","medium chain acyl-CoA dehydrogenase deficiency",MONDO:0008721,"0 (No Evidence)",'-,'-,,,29.48,0,1.15,08/22/2016
G,ACADSB,HGNC:91,10q26.13,10:124768522-124817806,10:123009006-123058290,"30 (Autosomal Recessive)","2-methylbutyryl-CoA dehydrogenase deficiency",MONDO:0012392,"Not Yet Evaluated",'-,'-,,,65.42,0,1.17,08/22/2016
G,ACADVL,HGNC:92,17p13.1,17:7120444-7128585,17:7217125-7225266,"30 (Autosomal Recessive)","very long chain acyl-CoA dehydrogenase deficiency",MONDO:0008723,"0 (No Evidence)",'-,'-,,,33.28,0,1.05,08/22/2016
G,ACD,HGNC:25070,16q22.1,16:67691415-67694163,16:67657512-67660260,"1 (Little Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,81.12,0,1.19,10/09/2019
G,ACOX1,HGNC:119,17q25.1,17:73937588-73975247,17:75941507-75979166,"30 (Autosomal Recessive)","peroxisomal acyl-CoA oxidase deficiency",MONDO:0009919,"0 (No Evidence)",'-,'-,,,38.86,0.06,0.46,11/20/2014
G,ACP5,HGNC:124,19p13.2,19:11685475-11689790,19:11574660-11578975,"30 (Autosomal Recessive)","Spondyloenchondrodysplasia with immune dysregulation",MONDO:0011939,"0 (No Evidence)",'-,'-,,,66.32,0.08,0.72,08/22/2016
G,ACSF3,HGNC:27288,16q24.3,16:89160260-89222641,16:89093852-89156233,"30 (Autosomal Recessive)","combined malonic and methylmalonic acidemia",MONDO:0013661,"0 (No Evidence)",'-,'-,,,79.2,0,1.77,08/22/2016
G,ACSL4,HGNC:3571,Xq23,X:108884564-108976486,X:109641335-109733257,"1 (Little Evidence)","intellectual disability, X-linked 63",MONDO:0010313,"0 (No Evidence)",'-,'-,,,15.6,0.98,0.31,04/28/2021
G,ACTA2,HGNC:130,10q23.31,10:90694831-90751154,10:88935074-88991337,"1 (Little Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,2.61,0.93,0.36,09/28/2022
G,ACTB,HGNC:132,7p22.1,7:5566779-5570232,7:5527148-5530601,"0 (No Evidence)","syndromic intellectual disability",MONDO:0000508,"0 (No Evidence)",'-,'-,,,1.03,0.99,0.23,02/08/2022
G,ACTC1,HGNC:143,15q14,15:35082431-35087750,15:34790230-34795549,"1 (Little Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,9.59,0.74,0.48,11/17/2015
G,ACTL6B,HGNC:160,7q22.1,7:100240720-100254071,7:100643097-100656448,"30 (Autosomal Recessive)","developmental and epileptic encephalopathy",MONDO:0100062,"Not Yet Evaluated",'-,'-,,,15.91,0,0.65,11/23/2022
G,ACVRL1,HGNC:175,12q13.13,12:52301288-52317145,12:51906944-51923361,"3 (Sufficient Evidence)","telangiectasia, hereditary hemorrhagic, type 2",MONDO:0010880,"0 (No Evidence)",'-,'-,,,49.42,0,0.69,11/10/2016
G,ADA2,HGNC:1839,22q11.1,22:17659680-17702738,22:17178790-17221848,"30 (Autosomal Recessive)","vasculitis due to ADA2 deficiency",MONDO:0014306,"Not Yet Evaluated",'-,'-,,,85.15,0,1.07,08/22/2016
G,ADAM9,HGNC:216,8p11.22,8:38854492-38962780,8:38996973-39105261,"30 (Autosomal Recessive)","cone-rod dystrophy 9",MONDO:0013002,"0 (No Evidence)",'-,'-,,,58.29,0.03,0.42,12/11/2014
G,ADAMTS13,HGNC:1366,9q34.2,9:136279457-136324508,9:133414337-133459386,"30 (Autosomal Recessive)","congenital thrombotic thrombocytopenic purpura",MONDO:0010122,"Not Yet Evaluated",'-,'-,,,81.4,0,0.68,08/22/2016
G,ADAMTS17,HGNC:17109,15q26.3,15:100511642-100882180,15:99971437-100341975,"30 (Autosomal Recessive)","Weill-Marchesani 4 syndrome, recessive",MONDO:0013176,"0 (No Evidence)",'-,'-,,,44.61,0,0.73,08/22/2016
G,ADAMTS18,HGNC:17110,16q23.1,16:77316025-77468931,16:77282128-77435034,"30 (Autosomal Recessive)","microcornea-myopic chorioretinal atrophy",MONDO:0014195,"0 (No Evidence)",'-,'-,,,48.75,0,0.93,08/22/2016
G,ADAMTS2,HGNC:218,5q35.3,5:178537854-178772462,5:179110853-179345461,"30 (Autosomal Recessive)","Ehlers-Danlos syndrome, dermatosparaxis type",MONDO:0009161,"0 (No Evidence)",'-,'-,,,25.76,0.97,0.31,08/22/2016
G,ADAMTSL2,HGNC:14631,9q34.2,9:136397286-136440641,9:133532164-133575519,"30 (Autosomal Recessive)","geleophysic dysplasia 1",MONDO:0009269,"0 (No Evidence)",'-,'-,,,62.46,0,0.74,08/22/2016
G,ADGRG1,HGNC:4512,16q21,16:57653650-57699479,16:57619738-57665567,"30 (Autosomal Recessive)","bilateral frontoparietal polymicrogyria",MONDO:0011738,"0 (No Evidence)",'-,'-,,,82.05,0,0.89,05/17/2012
G,ADGRV1,HGNC:17416,5q14.3,5:89854614-90460254,5:90558797-91164437,"30 (Autosomal Recessive)","Usher syndrome type 2",MONDO:0016484,"0 (No Evidence)",'-,'-,,,25.58,0,0.52,08/23/2021
G,ADNP,HGNC:15766,20q13.13,20:49505455-49547974,20:50888918-50931437,"3 (Sufficient Evidence)","ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder",MONDO:0014379,"0 (No Evidence)",'-,'-,,,9.79,1,0.12,11/22/2017
G,ADSL,HGNC:291,22q13.1,22:40742504-40783531,22:40346500-40387527,"30 (Autosomal Recessive)","adenylosuccinate lyase deficiency",MONDO:0007068,"0 (No Evidence)",'-,'-,,,4.7,0,1.07,11/06/2015
G,AFF2,HGNC:3776,Xq28,X:147582137-148082193,X:148500617-149000663,"3 (Sufficient Evidence)","FRAXE intellectual disability",MONDO:0010659,"0 (No Evidence)",'-,'-,,,2.76,1,0.28,12/08/2020
G,AGA,HGNC:318,4q34.3,4:178351928-178363591,4:177430774-177442437,"30 (Autosomal Recessive)",aspartylglucosaminuria,MONDO:0008830,"Not Yet Evaluated",'-,'-,,,51.89,0,1.04,08/22/2016
G,AGK,HGNC:21869,7q34,7:141251210-141355044,7:141551410-141655244,"30 (Autosomal Recessive)","Sengers syndrome",MONDO:0008922,"0 (No Evidence)",'-,'-,,,51.17,0,0.88,11/20/2014
G,AGPAT2,HGNC:325,9q34.3,9:139567595-139581909,9:136673143-136687457,"30 (Autosomal Recessive)","congenital generalized lipodystrophy type 1",MONDO:0012071,"0 (No Evidence)",'-,'-,,,74.8,0,1.54,08/22/2016
G,AGRN,HGNC:329,1p36.33,1:955500-991496,1:1020120-1056116,"30 (Autosomal Recessive)","congenital myasthenic syndrome 8",MONDO:0014052,"0 (No Evidence)",'-,'-,,,71.13,0,0.44,08/22/2016
G,AGT,HGNC:333,1q42.2,1:230838269-230881329,1:230702523-230745583,"30 (Autosomal Recessive)","renal tubular dysgenesis of genetic origin",MONDO:0009970,"0 (No Evidence)",'-,'-,,,59.54,0,1.45,11/13/2014
G,AGTR2,HGNC:338,Xq23,X:115301997-115306227,X:116170744-116174974,"0 (No Evidence)","intellectual disability, X-linked 88",MONDO:0010454,"0 (No Evidence)",'-,'-,,,25.02,0.01,1.31,05/10/2012
G,AGXT,HGNC:341,2q37.3,2:241808241-241819917,2:240868824-240880500,"30 (Autosomal Recessive)","primary hyperoxaluria type 1",MONDO:0009823,"Not Yet Evaluated",'-,'-,,,70.08,0,1.03,08/22/2016
G,AHCY,HGNC:343,20q11.22,20:32868074-32899608,20:34231981-34311836,"30 (Autosomal Recessive)","hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase",MONDO:0013404,"0 (No Evidence)",'-,'-,,,18.88,0.04,0.62,06/08/2016
G,AHDC1,HGNC:25230,1p36.11-p35.3,1:27860756-27930655,1:27534245-27604227,"3 (Sufficient Evidence)","AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome",MONDO:0014358,"0 (No Evidence)",'-,'-,,,18.42,1,0.08,02/28/2018
G,AHI1,HGNC:21575,6q23.3,6:135604670-135818878,6:135283532-135497740,"30 (Autosomal Recessive)","Joubert syndrome 3",MONDO:0012078,"0 (No Evidence)",'-,'-,,,32.57,0,0.95,09/06/2012
G,AICDA,HGNC:13203,12p13.31,12:8754766-8765455,12:8602170-8612859,"30 (Autosomal Recessive)","hyper-IgM syndrome type 2",MONDO:0011528,"Not Yet Evaluated",'-,'-,,,24.45,0,1.33,08/22/2016
G,AIMP1,HGNC:10648,4q24,4:107236701-107270613,4:106315544-106349456,"30 (Autosomal Recessive)","hypomyelinating leukodystrophy 3",MONDO:0009843,"0 (No Evidence)",'-,'-,,,22.3,0,1.22,08/22/2016
G,AKT1,HGNC:391,14q32.33,14:105235686-105262085,14:104769349-104795748,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,0.05,0.98,0.32,01/25/2022
G,AKT2,HGNC:392,19q13.2,19:40736224-40791252,19:40230317-40285345,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,4.88,0.64,0.42,05/07/2015
G,AKT3,HGNC:393,1q43-q44,1:243651535-244014381,1:243488233-243851079,"1 (Little Evidence)",microcephaly,MONDO:0001149,"0 (No Evidence)",'-,'-,,,2.71,1,0.18,05/09/2023
G,ALAD,HGNC:395,9q32,9:116148592-116163564,9:113386312-113401284,"30 (Autosomal Recessive)","porphyria due to ALA dehydratase deficiency",MONDO:0013000,"Not Yet Evaluated",'-,'-,,,32.28,0,0.87,08/22/2016
G,ALDH1A3,HGNC:409,15q26.3,15:101420036-101456831,15:100879831-100916626,"30 (Autosomal Recessive)","isolated microphthalmia 8",MONDO:0014050,"0 (No Evidence)",'-,'-,,,34.78,0.14,0.51,08/22/2016
G,ALDH3A2,HGNC:403,17p11.2,17:19551449-19580909,17:19648136-19677596,"30 (Autosomal Recessive)","Sjogren-Larsson syndrome",MONDO:0010031,"Not Yet Evaluated",'-,'-,,,53.41,0,0.83,08/22/2016
G,ALDH4A1,HGNC:406,1p36.13,1:19197924-19229049,1:18871430-18902555,"30 (Autosomal Recessive)","hyperprolinemia type 2",MONDO:0009401,"0 (No Evidence)",'-,'-,,,47.22,0,0.71,04/09/2015
G,ALDH5A1,HGNC:408,6p22.3,6:24495197-24537435,6:24494969-24537207,"30 (Autosomal Recessive)","succinic semialdehyde dehydrogenase deficiency",MONDO:0010083,"0 (No Evidence)",'-,'-,,,66.91,0,0.94,08/22/2016
G,ALDOA,HGNC:414,16p11.2,16:30075600-30081741,16:30064279-30070420,"30 (Autosomal Recessive)","glycogen storage disease due to aldolase A deficiency",MONDO:0012747,"Not Yet Evaluated",'-,'-,,,11.28,0,0.76,08/22/2016
G,ALG1,HGNC:18294,16p13.3,16:5121844-5137380,16:5071843-5087379,"30 (Autosomal Recessive)","ALG1-congenital disorder of glycosylation",MONDO:0012052,"Not Yet Evaluated",'-,'-,,,67.9,0,1.5,08/22/2016
G,ALG12,HGNC:19358,22q13.33,22:50293877-50312086,22:49859311-49918438,"30 (Autosomal Recessive)","ALG12-congenital disorder of glycosylation",MONDO:0011783,"0 (No Evidence)",'-,'-,,,85.41,0,1.03,08/22/2016
G,ALG2,HGNC:23159,9q22.33,9:101978707-101984224,9:99216425-99221942,"30 (Autosomal Recessive)","congenital myasthenic syndrome 14",MONDO:0014543,"Not Yet Evaluated",'-,'-,,,54.65,0,1.18,08/22/2016
G,ALG6,HGNC:23157,1p31.3,1:63833298-63904224,1:63367627-63438553,"30 (Autosomal Recessive)","ALG6-congenital disorder of glycosylation 1C",MONDO:0011291,"Not Yet Evaluated",'-,'-,,,35.38,0,0.64,08/22/2016
G,ALK,HGNC:427,2p23.2-p23.1,2:29415640-30144452,2:29192774-29921586,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,4.47,0,0.45,12/20/2019
G,ALMS1,HGNC:428,2p13.1,2:73612886-73837046,2:73385758-73609919,"30 (Autosomal Recessive)","Alstrom syndrome",MONDO:0008763,"0 (No Evidence)",'-,'-,,,78.65,0,0.87,08/22/2016
G,ALS2,HGNC:443,2q33.1,2:202564990-202645656,2:201700267-201780933,"30 (Autosomal Recessive)","Alstrom syndrome",MONDO:0008763,"0 (No Evidence)",'-,'-,,,15.08,0,0.52,08/22/2016
G,ALX4,HGNC:450,11p11.2,11:44281990-44331689,11:44260440-44310139,"3 (Sufficient Evidence)","parietal foramina 2",MONDO:0012309,"0 (No Evidence)",'-,'-,,,8.75,0.36,0.52,07/22/2020
G,AMH,HGNC:464,19p13.3,19:2249322-2252072,19:2249323-2252073,"30 (Autosomal Recessive)","persistent Mullerian duct syndrome",MONDO:0009857,"Not Yet Evaluated",'-,'-,,,59.26,0,1.77,08/22/2016
G,AMN,HGNC:14604,14q32.32,14:103389000-103397179,14:102922663-102930842,"30 (Autosomal Recessive)","Imerslund-Grasbeck syndrome type 1",MONDO:0100156,"0 (No Evidence)",'-,'-,,,83.83,0,0.82,08/22/2016
G,ANGPTL3,HGNC:491,1p31.3,1:63063191-63071984,1:62597520-62606313,"30 (Autosomal Recessive)","familial hypobetalipoproteinemia 2",MONDO:0011505,"Not Yet Evaluated",'-,'-,,,48.8,0,1.3,08/22/2016
G,ANK2,HGNC:493,4q25-q26,4:113626778-114304892,4:112705622-113383736,"3 (Sufficient Evidence)","complex neurodevelopmental disorder",MONDO:0100038,"0 (No Evidence)",'-,'-,,,24.11,1,0.11,05/22/2019
G,ANKH,HGNC:15492,5p15.2,5:14704909-14871887,5:14704800-14871778,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,40.3,0.28,0.5,02/23/2022
G,ANKRD11,HGNC:21316,16q24.3,16:89334038-89556969,16:89267630-89490561,"3 (Sufficient Evidence)","KBG syndrome",MONDO:0007846,"0 (No Evidence)",'-,'-,,,75.55,1,0.11,06/14/2022
G,ANKRD17,HGNC:23575,4q13.3,4:73939093-74124515,4:73073376-73258798,"3 (Sufficient Evidence)","syndromic intellectual disability",MONDO:0000508,"0 (No Evidence)",'-,'-,,,12.36,1,0.06,04/11/2023
G,ANKRD26,HGNC:29186,10p12.1,10:27293045-27389423,10:26947582-27100494,"0 (No Evidence)","thrombocytopenia 2",MONDO:0008555,"0 (No Evidence)","thrombocytopenia 2",MONDO:0008555,,,88.32,0,0.73,10/10/2023
G,ANKS6,HGNC:26724,9q22.33,9:101494291-101558837,9:98732009-98796555,"30 (Autosomal Recessive)","nephronophthisis 16",MONDO:0014158,"Not Yet Evaluated",'-,'-,,,50.29,0,0.69,08/22/2016
G,ANOS1,HGNC:6211,Xp22.31,X:8496915-8700178,X:8528874-8732137,"3 (Sufficient Evidence)","hypogonadotropic hypogonadism 1 with or without anosmia",MONDO:0010635,"0 (No Evidence)",'-,'-,,,60.51,1,0.25,05/26/2021
G,ANTXR2,HGNC:21732,4q21.21,4:80822300-80994626,4:79901146-80073472,"30 (Autosomal Recessive)","hyaline fibromatosis syndrome",MONDO:0009229,"0 (No Evidence)",'-,'-,,,4.33,0.09,0.5,08/22/2016
G,AP1S2,HGNC:560,Xp22.2,X:15843929-15872936,X:15825806-15854813,"3 (Sufficient Evidence)","syndromic X-linked intellectual disability 5",MONDO:0010574,"0 (No Evidence)",'-,'-,,,10.13,0.87,0.45,04/28/2021
G,AP4B1,HGNC:572,1p13.2,1:114436816-114447650,1:113894194-113905028,"30 (Autosomal Recessive)","hereditary spastic paraplegia 47",MONDO:0013551,"0 (No Evidence)",'-,'-,,,41.21,0,0.83,08/22/2016
G,AP4S1,HGNC:575,14q12,14:31494312-31565656,14:31025106-31096450,"30 (Autosomal Recessive)","hereditary spastic paraplegia 52",MONDO:0013552,"0 (No Evidence)",'-,'-,,,19.1,0,1.63,08/22/2016
G,APC,HGNC:583,5q22.2,5:112043195-112181936,5:112707498-112846239,"3 (Sufficient Evidence)","familial adenomatous polyposis 1",MONDO:0021056,"0 (No Evidence)",'-,'-,,,2.19,1,0.16,07/19/2021
G,APOB,HGNC:603,2p24.1,2:21224301-21266945,2:21001429-21044073,"3 (Sufficient Evidence)","familial hypobetalipoproteinemia 1",MONDO:0014252,"0 (No Evidence)",'-,'-,,,12.78,0,0.46,04/09/2020
G,APOC2,HGNC:609,19q13.32,19:45449308-45452822,19:44946051-44949565,"30 (Autosomal Recessive)","familial apolipoprotein C-II deficiency",MONDO:0008810,"Not Yet Evaluated",'-,'-,,,88.9,0.4,0.94,08/22/2016
G,APP,HGNC:620,21q21.3,21:27252861-27543446,21:25880550-26171128,"0 (No Evidence)",'-,'-,"2 (Emerging Evidence)",'-,'-,,,0.94,0.05,0.42,07/06/2012
G,AR,HGNC:644,Xq12,X:66763863-66950461,X:67544021-67730619,"3 (Sufficient Evidence)","androgen insensitivity syndrome",MONDO:0019154,"0 (No Evidence)",'-,'-,,,0.35,0.99,0.29,12/08/2020
G,ARCN1,HGNC:649,11q23.3,11:118443124-118473748,11:118572409-118603033,"3 (Sufficient Evidence)","short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay",MONDO:0014948,"0 (No Evidence)",'-,'-,,,9.21,1,0.1,05/10/2022
G,ARFGEF2,HGNC:15853,20q13.13,20:47538248-47653230,20:48921711-49036693,"30 (Autosomal Recessive)","periventricular heterotopia with microcephaly, autosomal recessive",MONDO:0011966,"0 (No Evidence)",'-,'-,,,27.35,1,0.25,08/22/2016
G,ARG1,HGNC:663,6q23.2,6:131894366-131905469,6:131573226-131584329,"30 (Autosomal Recessive)",hyperargininemia,MONDO:0008814,"0 (No Evidence)",'-,'-,,,33.51,0,0.92,08/22/2016
G,ARHGAP11B,HGNC:15782,15q13.2,15:30918331-30941432,15:30626128-30649229,"0 (No Evidence)",'-,'-,"Not Yet Evaluated",'-,'-,,,81.2,0,1.56,03/28/2023
G,ARHGAP31,HGNC:29216,3q13.32-q13.33,3:119013230-119139561,3:119294383-119420714,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,37.14,1,0.19,06/13/2023
G,ARHGEF4,HGNC:684,2q21.1,2:131594487-131804826,2:130836914-131047253,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,65.32,0,0.55,04/05/2018
G,ARHGEF6,HGNC:685,Xq26.3,X:135747709-135863091,X:136665550-136780932,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,14.42,1,0.14,04/25/2012
G,ARHGEF9,HGNC:14561,Xq11.1,X:62854847-63005094,X:63634967-63785214,"3 (Sufficient Evidence)","X-linked complex neurodevelopmental disorder",MONDO:0100148,"0 (No Evidence)",'-,'-,,,10.55,1,0.15,11/25/2021
G,ARID1A,HGNC:11110,1p36.11,1:27022506-27108595,1:26696015-26782104,"3 (Sufficient Evidence)","intellectual disability, autosomal dominant 14",MONDO:0013819,"0 (No Evidence)",'-,'-,,,9.63,1,0.07,05/27/2020
G,ARID1B,HGNC:18040,6q25.3,6:157097160-157531913,6:156776026-157210779,"3 (Sufficient Evidence)","Coffin-Siris syndrome 1",MONDO:0007617,"0 (No Evidence)",'-,'-,,,14.17,1,0.1,05/26/2021
G,ARID2,HGNC:18037,12q12,12:46123489-46301820,12:45729706-45908037,"3 (Sufficient Evidence)","Coffin-Siris syndrome 6",MONDO:0033492,"0 (No Evidence)",'-,'-,,,11.02,1,0.1,06/26/2019
G,ARL6,HGNC:13210,3q11.2,3:97483365-97520086,3:97764521-97801242,"30 (Autosomal Recessive)","Bardet-Biedl syndrome 3",MONDO:0010832,"0 (No Evidence)",'-,'-,,,10.16,0.01,0.92,08/22/2016
G,ARL6IP1,HGNC:697,16p12.3,16:18802989-18812871,16:18791667-18801549,"30 (Autosomal Recessive)","hereditary spastic paraplegia 61",MONDO:0014304,"Not Yet Evaluated",'-,'-,,,17.4,0.02,0.78,08/22/2016
G,ARSA,HGNC:713,22q13.33,22:51061182-51066580,22:50622754-50628152,"30 (Autosomal Recessive)","metachromatic leukodystrophy, juvenile form",MONDO:0009591,"0 (No Evidence)",'-,'-,,,63.58,0,1.34,09/05/2012
G,ARSD,HGNC:717,Xp22.33,X:2822013-2847380,X:2903972-2929339,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,92.29,0,0.86,07/21/2016
G,ARSL,HGNC:719,Xp22.33,X:2852562-2886286,X:2934521-2968245,"3 (Sufficient Evidence)","X-linked chondrodysplasia punctata 1",MONDO:0010555,"0 (No Evidence)",'-,'-,,,89.33,0.59,0.49,07/12/2012
G,ARX,HGNC:18060,Xp21.3,X:25021811-25034082,X:25003694-25015965,"3 (Sufficient Evidence)","X-linked lissencephaly with abnormal genitalia",MONDO:0010268,"0 (No Evidence)",'-,'-,,,20.25,0.91,0.39,12/05/2019
G,ASAH1,HGNC:735,8p22,8:17913501-17942470,8:18055992-18084961,"30 (Autosomal Recessive)","Farber lipogranulomatosis",MONDO:0009218,"0 (No Evidence)",'-,'-,,,65.81,0,1.18,09/12/2017
G,ASH1L,HGNC:19088,1q22,1:155305059-155532594,1:155335268-155563202,"3 (Sufficient Evidence)","complex neurodevelopmental disorder",MONDO:0100038,"0 (No Evidence)",'-,'-,,,23.94,1,0.06,12/27/2017
G,ASL,HGNC:746,7q11.21,7:65540806-65558563,7:66075819-66093576,"30 (Autosomal Recessive)","argininosuccinic aciduria",MONDO:0008815,"Not Yet Evaluated",'-,'-,,,18.56,0,0.94,08/22/2016
G,ASPA,HGNC:756,17p13.2,17:3377404-3406699,17:3474110-3503405,"30 (Autosomal Recessive)","Canavan disease",MONDO:0010079,"0 (No Evidence)",'-,'-,,,37.65,0,1.1,08/22/2016
G,ASPH,HGNC:757,8q12.3,8:62413115-62627151,8:61500556-61714592,"30 (Autosomal Recessive)","facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome",MONDO:0011106,"Not Yet Evaluated",'-,'-,,,46.75,0,0.82,08/22/2016
G,ASPM,HGNC:19048,1q31.3,1:197053257-197115799,1:197084127-197146669,"30 (Autosomal Recessive)","microcephaly 5, primary, autosomal recessive",MONDO:0012106,"0 (No Evidence)",'-,'-,,,41.31,0,0.74,08/22/2016
G,ASTN2,HGNC:17021,9q33.1,9:119185391-120177335,9:116423112-117415057,"1 (Little Evidence)","complex neurodevelopmental disorder",MONDO:0100038,"0 (No Evidence)",'-,'-,,,2.19,1,0.25,03/09/2021
G,ASXL1,HGNC:18318,20q11.21,20:30946134-31027122,20:32358331-32439319,"3 (Sufficient Evidence)","Bohring-Opitz syndrome",MONDO:0011510,"0 (No Evidence)",'-,'-,,,20.78,0,0.79,03/14/2013
G,ASXL2,HGNC:23805,2p23.3,2:25956622-26101356,2:25733753-25878487,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,43.83,1,0.15,06/28/2018
G,ASXL3,HGNC:29357,18q12.1,18:31158183-31331159,18:33578219-33751195,"3 (Sufficient Evidence)","severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome",MONDO:0014205,"0 (No Evidence)",'-,'-,,,13.78,1,0.2,11/22/2017
G,ATCAY,HGNC:779,19p13.3,19:3880683-3928080,19:3880685-3928082,"30 (Autosomal Recessive)","Cayman type cerebellar ataxia",MONDO:0011025,"Not Yet Evaluated",'-,'-,,,64.83,0.62,0.45,08/22/2016
G,ATF6,HGNC:791,1q23.3,1:161736110-161933860,1:161766320-161964070,"30 (Autosomal Recessive)","achromatopsia 7",MONDO:0014677,"0 (No Evidence)",'-,'-,,,26.14,0,0.7,01/12/2017
G,ATM,HGNC:795,11q22.3,11:108093794-108239829,11:108223067-108369102,"3 (Sufficient Evidence)","ataxia telangiectasia",MONDO:0008840,"0 (No Evidence)",'-,'-,,,0.97,0,0.71,04/08/2020
G,ATP10A,HGNC:13542,15q12,15:25923859-26108349,15:25672237-25865088,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,68.57,0,0.43,04/25/2012
G,ATP13A2,HGNC:30213,1p36.13,1:17312453-17338423,1:16985958-17011928,"30 (Autosomal Recessive)","Kufor-Rakeb syndrome",MONDO:0011706,"Not Yet Evaluated",'-,'-,,,35.38,0,0.58,08/22/2016
G,ATP2A1,HGNC:811,16p11.2,16:28889809-28915787,16:28878488-28904466,"30 (Autosomal Recessive)","Brody myopathy",MONDO:0010977,"0 (No Evidence)",'-,'-,,,24.7,0,0.83,08/22/2016
G,ATP2C2,HGNC:29103,16q24.1,16:84402144-84497793,16:84368538-84464187,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,70.21,0,1.84,09/17/2018
G,ATP6AP2,HGNC:18305,Xp11.4,X:40440222-40466100,X:40580970-40606848,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,35.15,0.87,0.43,10/31/2012
G,ATP6V0A2,HGNC:18481,12q24.31,12:124196900-124246302,12:123712353-123761755,"30 (Autosomal Recessive)","autosomal recessive cutis laxa type 2A",MONDO:0018163,"0 (No Evidence)",'-,'-,,,46.77,0,0.75,08/22/2016
G,ATP6V0A4,HGNC:866,7q34,7:138391039-138482941,7:138706294-138798196,"30 (Autosomal Recessive)","renal tubular acidosis, distal, 3, with or without sensorineural hearing loss",MONDO:0011268,"Not Yet Evaluated",'-,'-,,,54.41,0,1,08/22/2016
G,ATP6V1E1,HGNC:857,22q11.21,22:18074902-18111588,22:17592136-17628822,"0 (No Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,39.36,0.53,0.51,04/26/2012
G,ATP7A,HGNC:869,Xq21.1,X:77166190-77305892,X:77910693-78050395,"3 (Sufficient Evidence)","Menkes disease",MONDO:0010651,"0 (No Evidence)",'-,'-,,,30.07,1,0.22,03/24/2021
G,ATP7B,HGNC:870,13q14.3,13:52506805-52585586,13:51932669-52012132,"30 (Autosomal Recessive)","Wilson disease",MONDO:0010200,"0 (No Evidence)",'-,'-,,,64.5,0,1.19,01/12/2017
G,ATP8A2,HGNC:13533,13q12.13,13:25946112-26599989,13:25371974-26025851,"30 (Autosomal Recessive)","cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 4",MONDO:0014104,"0 (No Evidence)",'-,'-,,,24.95,0,0.6,03/28/2023
G,ATPAF2,HGNC:18802,17p11.2,17:17921335-17942482,17:18015059-18039168,"30 (Autosomal Recessive)","mitochondrial complex V (ATP synthase) deficiency, nuclear type 1",MONDO:0011421,"0 (No Evidence)",'-,'-,,,45.43,0,1.44,08/22/2016
G,ATR,HGNC:882,3q23,3:142168077-142297575,3:142449235-142578733,"1 (Little Evidence)","familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome",MONDO:0013806,"0 (No Evidence)",'-,'-,,,8.61,0,0.4,06/05/2020
G,ATRX,HGNC:886,Xq21.1,X:76760358-77041702,X:77504880-77786216,"3 (Sufficient Evidence)","alpha thalassemia-X-linked intellectual disability syndrome",MONDO:0010519,"0 (No Evidence)",'-,'-,,,6.65,1,0.12,07/31/2012
G,AUTS2,HGNC:14262,7q11.22,7:69063461-70258492,7:69598475-70793506,"3 (Sufficient Evidence)","autism spectrum disorder due to AUTS2 deficiency",MONDO:0014361,"0 (No Evidence)",'-,'-,,,0.51,1,0.25,06/24/2020
